"male","age","land","agef","landf","fid"
1,53,7,NA,NA,NA
0,15,NA,84,90,134
0,44,NA,74,33,378
1,58,52,NA,NA,NA
0,34,7,NA,NA,NA
0,44,13,NA,NA,NA
1,30,6,NA,NA,NA
0,35,4,79,45,444
0,37,10,75,50,151
0,26,NA,77,30,332
0,21,NA,84,300,144
0,41,8,68,160,292
1,62,8,90,160,762
1,40,5,85,70,331
1,32,15,85,70,331
0,39,NA,80,55,424
1,34,11,75,50,151
1,63,40,NA,NA,NA
0,30,6,NA,NA,NA
1,54,7,NA,NA,NA
1,39,4,79,32,114
1,66,25,NA,NA,NA
1,38,9,80,55,424
0,51,2,93,150,298
1,51,7,92,100,882
0,57,6,93,150,298
1,14,NA,79,45,444
0,46,8,77,30,332
0,36,12,78,20,473
1,49,6,74,33,378
0,31,15,NA,NA,NA
1,39,3,71,30,267
0,44,10,73,15,921
0,35,10,90,160,762
1,73,15,NA,NA,NA
0,45,14,74,33,378
1,31,NA,74,33,378
0,49,4,85,100,432
0,34,10,84,300,144
0,46,12,93,150,298
1,47,7,85,100,432
0,37,6,74,33,378
1,48,11,75,50,151
0,31,10,87,45,112
1,53,27,NA,NA,NA
0,21,NA,79,45,444
1,61,25,NA,NA,NA
1,77,30,NA,NA,NA
1,41,2,90,20,155
1,83,25,NA,NA,NA
1,31,17,84,300,144
0,17,NA,84,90,134
1,34,2,79,45,444
1,40,17,84,300,144
1,61,17,84,300,144
1,38,13,68,160,292
0,70,10,NA,NA,NA
1,43,5,NA,NA,NA
1,42,3,78,20,473
1,36,6,NA,NA,NA
0,36,10,79,45,444
1,60,20,NA,NA,NA
0,41,20,79,32,114
1,44,5,87,45,112
1,33,2,90,20,155
1,55,17,93,150,298
1,35,12,NA,NA,NA
1,48,3,73,20,770
1,36,4,NA,NA,NA
1,44,4,77,30,332
1,58,60,NA,NA,NA
0,39,NA,84,90,134
1,44,6,NA,NA,NA
0,17,NA,85,70,331
0,30,10,84,90,134
1,44,6,74,33,378
1,40,3,NA,NA,NA
1,47,17,84,300,144
0,34,10,84,300,144
1,52,6,80,55,424
0,80,4,NA,NA,NA
1,55,7,84,90,134
1,32,3,79,45,444
0,43,14,79,45,444
0,51,8,87,45,112
1,84,300,NA,NA,NA
1,44,7,92,100,882
1,35,5,85,70,331
0,36,12,74,33,378
0,32,8,66,25,198
1,51,4,77,30,332
1,43,8,80,55,424
1,47,10,90,160,762
1,45,7,NA,NA,NA
1,44,11,75,50,151
1,42,4,76,20,222
1,66,7,90,160,762
1,33,6,NA,NA,NA
0,30,18,NA,NA,NA
1,38,11,75,50,151
0,33,8,74,33,378
1,34,10,NA,NA,NA
0,33,6,80,55,424
1,48,13,68,160,292
0,21,NA,66,25,198
1,73,120,NA,NA,NA
0,56,NA,90,160,762
1,33,NA,83,20,250
1,55,15,NA,NA,NA
0,44,8,85,100,432
1,42,7,92,100,882
1,54,5,87,45,112
0,59,6,83,20,250
1,49,25,NA,NA,NA
1,45,2,79,45,444
0,31,24,84,300,144
1,39,7,85,100,432
1,34,11,90,160,762
0,37,10,92,100,882
0,38,NA,68,160,292
0,50,16,84,90,134
1,21,NA,73,20,770
0,32,NA,93,150,298
0,36,6,71,30,267
1,17,NA,79,45,444
1,23,NA,87,45,112
0,46,8,75,50,151
1,78,100,NA,NA,NA
0,57,4,83,20,250
1,46,3,71,30,267
1,32,10,80,55,424
0,33,10,73,20,770
0,49,6,78,20,473
1,31,10,90,20,155
0,32,6,73,120,212
1,55,7,85,100,432
0,32,NA,93,150,298
1,31,15,85,70,331
1,60,45,NA,NA,NA
0,31,20,92,100,882
0,35,NA,79,32,114
1,54,7,84,90,134
1,92,100,NA,NA,NA
0,86,3,NA,NA,NA
0,35,6,NA,NA,NA
1,35,8,66,25,198
1,63,31,NA,NA,NA
0,37,18,73,15,921
0,18,NA,90,20,155
1,47,7,NA,NA,NA
0,40,18,93,150,298
1,32,10,66,25,198
1,32,NA,73,20,770
1,68,160,NA,NA,NA
0,76,4,NA,NA,NA
0,64,18,NA,NA,NA
1,44,3,71,30,267
1,76,20,NA,NA,NA
1,35,11,75,50,151
1,45,7,84,90,134
0,37,16,90,160,762
0,13,NA,90,160,762
0,33,4,84,90,134
1,45,4,77,30,332
1,75,50,NA,NA,NA
0,45,12,68,160,292
1,33,4,79,32,114
1,85,70,NA,NA,NA
0,36,NA,85,70,331
0,63,14,93,150,298
0,73,5,NA,NA,NA
0,21,NA,71,30,267
0,28,NA,79,32,114
1,55,17,84,300,144
1,45,10,90,160,762
1,38,10,NA,NA,NA
1,84,90,NA,NA,NA
1,73,20,NA,NA,NA
0,35,4,68,160,292
0,45,NA,93,150,298
0,43,6,71,30,267
0,53,NA,84,300,144
0,63,NA,93,150,298
1,33,7,84,90,134
0,54,25,NA,NA,NA
0,36,NA,84,300,144
1,34,6,71,30,267
0,28,NA,79,32,114
0,53,4,NA,NA,NA
1,33,5,78,20,473
1,47,4,79,32,114
0,54,20,76,20,222
1,42,6,NA,NA,NA
1,55,10,NA,NA,NA
